"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Sheboygan, WI","43100",2021,99,79,17,3,0,0,0,126,74,40,0,0,99,0,0,0
"Shelton, WA","43220",2021,177,173,4,0,0,0,0,67,33,15,0,0,0,0,177,0
"Sheridan, WY","43260",2021,181,172,9,0,0,0,0,71,49,39,0,0,156,0,10,15
"Show Low, AZ","43320",2021,273,202,70,1,0,0,0,101,64,45,0,0,247,0,0,26
"Shreveport-Bossier City, LA","43340",2021,304,216,88,0,0,0,0,93,63,43,0,0,131,0,169,4
"Sierra Vista-Douglas, AZ","43420",2021,273,180,91,2,0,0,0,105,61,47,0,0,247,0,0,26
"Sioux City, IA-NE-SD","43580",2021,208,154,52,1,1,0,0,163,63,42,0,0,129,0,78,1
"Sioux Falls, SD","43620",2021,166,135,31,0,0,0,0,100,61,39,1,6,124,0,31,4
"Somerset, KY","43700",2021,177,148,29,0,0,0,0,78,56,40,0,0,92,0,85,0
"Somerset, PA","43740",2021,242,218,24,0,0,0,0,90,50,38,0,0,242,0,0,0
"Sonora, CA","43760",2021,116,114,2,0,0,0,0,64,46,37,0,0,116,0,0,0
"South Bend-Mishawaka, IN-MI","43780",2021,304,197,106,1,0,0,0,112,68,44,0,1,187,0,116,0
"Spartanburg, SC","43900",2021,263,199,63,1,0,0,0,119,63,42,0,0,137,0,126,0
"Spokane-Spokane Valley, WA","44060",2021,181,138,43,0,0,0,0,80,58,43,0,0,74,0,89,18
"Springfield, IL","44100",2021,303,243,60,0,0,0,0,97,57,38,0,0,156,0,147,0
"Springfield, MA","44140",2021,243,185,56,2,0,0,0,116,63,41,0,1,144,0,98,0
"Springfield, MO","44180",2021,273,237,36,0,0,0,0,84,54,40,0,0,184,0,66,23
"Springfield, OH","44220",2021,273,171,102,0,0,0,0,100,68,45,0,0,117,0,156,0
"St. Cloud, MN","41060",2021,181,146,35,0,0,0,0,95,63,38,0,0,100,0,81,0
"St. George, UT","41100",2021,304,202,99,2,1,0,0,161,67,47,0,0,294,0,10,0
"St. Joseph, MO-KS","41140",2021,273,203,68,2,0,0,0,109,61,41,0,0,137,0,110,26
"St. Louis, MO-IL","41180",2021,304,117,169,13,5,0,0,200,84,55,0,2,89,5,202,6
"St. Marys, PA","41260",2021,238,220,18,0,0,0,0,87,49,37,0,0,238,0,0,0
"State College, PA","44300",2021,243,188,53,1,1,0,0,161,64,41,0,0,162,1,80,0
"Steamboat Springs, CO","44460",2021,227,220,7,0,0,0,0,68,34,16,0,0,0,0,0,227
"Stockton-Lodi, CA","44700",2021,273,153,109,10,1,0,0,153,80,47,0,0,9,0,196,68
"Summerville, GA","44900",2021,184,177,7,0,0,0,0,80,47,36,0,0,184,0,0,0
"Syracuse, NY","45060",2021,273,228,44,1,0,0,0,113,60,39,0,0,212,0,61,0
